company_name,status,data_points,output_file,csv_row,error
Poonawalla Fincorp Ltd,success,98.0,esg_outputs\Poonawalla_Fincorp_Ltd_esg.json,52,
Welspun Specialty Solutions Ltd,success,98.0,esg_outputs\Welspun_Specialty_Solutions_Ltd_esg.json,53,
Bosch Ltd,success,98.0,esg_outputs\Bosch_Ltd_esg.json,54,
Apollo Tyres Ltd,success,98.0,esg_outputs\Apollo_Tyres_Ltd_esg.json,55,
Safari Industries India Ltd,success,98.0,esg_outputs\Safari_Industries_India_Ltd_esg.json,56,
Safari Industries India Ltd,success,98.0,esg_outputs\Safari_Industries_India_Ltd_esg.json,57,
Great Eastern Shipping Company Ltd,success,98.0,esg_outputs\Great_Eastern_Shipping_Company_Ltd_esg.json,58,
Fiem Industries Ltd,success,98.0,esg_outputs\Fiem_Industries_Ltd_esg.json,59,
Rishabh Instruments Ltd,success,98.0,esg_outputs\Rishabh_Instruments_Ltd_esg.json,60,
GOCL Corporation Ltd-,success,98.0,esg_outputs\GOCL_Corporation_Ltd-_esg.json,61,
Precision Camshafts Ltd,success,98.0,esg_outputs\Precision_Camshafts_Ltd_esg.json,62,
Visaka Industries Ltd,success,98.0,esg_outputs\Visaka_Industries_Ltd_esg.json,63,
Avadh Sugar & Energy Ltd,failed,,,64,PDF download failed
GMM Pfaudler Ltd,success,98.0,esg_outputs\GMM_Pfaudler_Ltd_esg.json,65,
Welspun Corp Ltd,failed,,,66,PDF download failed
Symphony Ltd,success,98.0,esg_outputs\Symphony_Ltd_esg.json,67,
Bajaj Electricals Ltd-,success,98.0,esg_outputs\Bajaj_Electricals_Ltd-_esg.json,68,
Dabur India Ltd,success,98.0,esg_outputs\Dabur_India_Ltd_esg.json,69,
Page Industries Ltd,success,98.0,esg_outputs\Page_Industries_Ltd_esg.json,70,
Apar Industries Ltd,success,98.0,esg_outputs\Apar_Industries_Ltd_esg.json,71,
Steelcast Ltd,success,98.0,esg_outputs\Steelcast_Ltd_esg.json,72,
Bliss GVS Pharma Ltd,success,98.0,esg_outputs\Bliss_GVS_Pharma_Ltd_esg.json,73,
Greenlam Industries Ltd,failed,,,74,PDF download failed
Navin Fluorine International Ltd-,failed,,,75,PDF download failed
Laxmi Organic Industries Ltd,success,98.0,esg_outputs\Laxmi_Organic_Industries_Ltd_esg.json,76,
Cholamandalam Investment and Finance Company Ltd,success,98.0,esg_outputs\Cholamandalam_Investment_and_Finance_Company_Ltd_esg.json,77,
Kotak Mahindra Bank Ltd,success,98.0,esg_outputs\Kotak_Mahindra_Bank_Ltd_esg.json,78,
SKF India Ltd,success,98.0,esg_outputs\SKF_India_Ltd_esg.json,79,
UTI Asset Management Company Ltd,success,98.0,esg_outputs\UTI_Asset_Management_Company_Ltd_esg.json,80,
JSW Holdings Ltd,success,98.0,esg_outputs\JSW_Holdings_Ltd_esg.json,81,
HEG Ltd,success,98.0,esg_outputs\HEG_Ltd_esg.json,82,
Eveready Industries India Ltd,success,98.0,esg_outputs\Eveready_Industries_India_Ltd_esg.json,83,
Sundaram-Clayton Ltd,success,98.0,esg_outputs\Sundaram-Clayton_Ltd_esg.json,84,
Macrotech Developers Ltd,success,98.0,esg_outputs\Macrotech_Developers_Ltd_esg.json,85,
Satin Creditcare Network Ltd,success,98.0,esg_outputs\Satin_Creditcare_Network_Ltd_esg.json,86,
KPIT Technologies Ltd,failed,,,87,PDF download failed
Torrent Power Ltd,success,98.0,esg_outputs\Torrent_Power_Ltd_esg.json,88,
Ugro Capital Ltd,success,98.0,esg_outputs\Ugro_Capital_Ltd_esg.json,89,
Centum Electronics Ltd,success,98.0,esg_outputs\Centum_Electronics_Ltd_esg.json,90,
Cosmo First Ltd,success,98.0,esg_outputs\Cosmo_First_Ltd_esg.json,91,
Prataap Snacks Ltd,success,98.0,esg_outputs\Prataap_Snacks_Ltd_esg.json,92,
NOCIL Ltd,success,98.0,esg_outputs\NOCIL_Ltd_esg.json,93,
Ipca Laboratories Ltd,success,98.0,esg_outputs\Ipca_Laboratories_Ltd_esg.json,94,
Hester Biosciences Ltd,success,98.0,esg_outputs\Hester_Biosciences_Ltd_esg.json,95,
Birlasoft Ltd,success,98.0,esg_outputs\Birlasoft_Ltd_esg.json,96,
Strides Pharma Science Ltd,success,98.0,esg_outputs\Strides_Pharma_Science_Ltd_esg.json,97,
Pidilite Industries Ltd,success,98.0,esg_outputs\Pidilite_Industries_Ltd_esg.json,98,
Kirloskar Ferrous Industries Ltd,success,98.0,esg_outputs\Kirloskar_Ferrous_Industries_Ltd_esg.json,99,
TD Power Systems Ltd,success,98.0,esg_outputs\TD_Power_Systems_Ltd_esg.json,100,
Samhi Hotels Ltd,success,98.0,esg_outputs\Samhi_Hotels_Ltd_esg.json,101,
Igarashi Motors India Ltd,success,98.0,esg_outputs\Igarashi_Motors_India_Ltd_esg.json,102,
Orient Cement Ltd,success,98.0,esg_outputs\Orient_Cement_Ltd_esg.json,103,
JB Chemicals & Pharmaceuticals Ltd,success,98.0,esg_outputs\JB_Chemicals___Pharmaceuticals_Ltd_esg.json,104,
Kirloskar Oil Engines Ltd,success,98.0,esg_outputs\Kirloskar_Oil_Engines_Ltd_esg.json,105,
Centrum Capital Ltd,success,98.0,esg_outputs\Centrum_Capital_Ltd_esg.json,106,
Marico Ltd,success,98.0,esg_outputs\Marico_Ltd_esg.json,107,
Blue Star Ltd,success,98.0,esg_outputs\Blue_Star_Ltd_esg.json,108,
Shree Cement Ltd,success,98.0,esg_outputs\Shree_Cement_Ltd_esg.json,109,
Vaibhav Global Ltd,success,98.0,esg_outputs\Vaibhav_Global_Ltd_esg.json,110,
EIH Associated Hotels Ltd-,success,98.0,esg_outputs\EIH_Associated_Hotels_Ltd-_esg.json,111,
Hawkins Cookers Ltd-,success,98.0,esg_outputs\Hawkins_Cookers_Ltd-_esg.json,112,
Hero MotoCorp Ltd,success,98.0,esg_outputs\Hero_MotoCorp_Ltd_esg.json,113,
Siyaram Silk Mills Ltd-,success,98.0,esg_outputs\Siyaram_Silk_Mills_Ltd-_esg.json,114,
VRL Logistics Ltd,success,98.0,esg_outputs\VRL_Logistics_Ltd_esg.json,115,
V-Guard Industries Ltd,success,98.0,esg_outputs\V-Guard_Industries_Ltd_esg.json,116,
Bajaj Auto Ltd,success,98.0,esg_outputs\Bajaj_Auto_Ltd_esg.json,117,
EIH Ltd,success,98.0,esg_outputs\EIH_Ltd_esg.json,118,
DLF Ltd,success,98.0,esg_outputs\DLF_Ltd_esg.json,119,
Raymond Lifestyle Ltd,success,98.0,esg_outputs\Raymond_Lifestyle_Ltd_esg.json,120,
Raymond Ltd,success,98.0,esg_outputs\Raymond_Ltd_esg.json,121,
HDFC Bank Ltd,success,98.0,esg_outputs\HDFC_Bank_Ltd_esg.json,122,
Sharda Cropchem Ltd,success,98.0,esg_outputs\Sharda_Cropchem_Ltd_esg.json,123,
Jtekt India Ltd,success,98.0,esg_outputs\Jtekt_India_Ltd_esg.json,124,
