company_name,industry,status,data_points,output_file,csv_row,error
UNO Minda Ltd-,,success,98.0,esg_outputs\UNO_Minda_Ltd-_esg.json,1581,
ASTRA MICROWAVE PRODUCTS LTD.,,success,98.0,esg_outputs\ASTRA_MICROWAVE_PRODUCTS_LTD__esg.json,1582,
RATNAMANI METALS & TUBES LTD.-,,success,98.0,esg_outputs\RATNAMANI_METALS___TUBES_LTD_-_esg.json,1583,
EMAMI LTD.-,,success,98.0,esg_outputs\EMAMI_LTD_-_esg.json,1584,
NHPC LTD.,,success,98.0,esg_outputs\NHPC_LTD__esg.json,1585,
UPL Limited,,success,98.0,esg_outputs\UPL_Limited_esg.json,1586,
Electronics Mart India Ltd,,success,98.0,esg_outputs\Electronics_Mart_India_Ltd_esg.json,1587,
INDIA GLYCOLS LTD.,,success,98.0,esg_outputs\INDIA_GLYCOLS_LTD__esg.json,1588,
InterGlobe Aviation Ltd,,success,98.0,esg_outputs\InterGlobe_Aviation_Ltd_esg.json,1589,
EMAMI PAPER MILLS LTD.,,success,98.0,esg_outputs\EMAMI_PAPER_MILLS_LTD__esg.json,1590,
Entero Healthcare Solutions Ltd,,failed,,,1591,PDF download failed
SBI Life Insurance Company Ltd,,success,98.0,esg_outputs\SBI_Life_Insurance_Company_Ltd_esg.json,1592,
Naperol Investments Ltd,,success,98.0,esg_outputs\Naperol_Investments_Ltd_esg.json,1593,
ACTION CONSTRUCTION EQUIPMENT LTD.,,success,98.0,esg_outputs\ACTION_CONSTRUCTION_EQUIPMENT_LTD__esg.json,1594,
ISGEC Heavy Engineering Ltd,,success,98.0,esg_outputs\ISGEC_Heavy_Engineering_Ltd_esg.json,1595,
Titagarh Rail Systems Ltd,,success,98.0,esg_outputs\Titagarh_Rail_Systems_Ltd_esg.json,1596,
PI Industries Ltd,,success,98.0,esg_outputs\PI_Industries_Ltd_esg.json,1597,
MARUTI SUZUKI INDIA LTD.,,success,98.0,esg_outputs\MARUTI_SUZUKI_INDIA_LTD__esg.json,1598,
Bigbloc Construction Ltd,,success,98.0,esg_outputs\Bigbloc_Construction_Ltd_esg.json,1599,
PANAMA PETROCHEM LTD.,,success,98.0,esg_outputs\PANAMA_PETROCHEM_LTD__esg.json,1600,
L.G.BALAKRISHNAN & BROS.LTD.,,success,98.0,esg_outputs\L_G_BALAKRISHNAN___BROS_LTD__esg.json,1601,
KUANTUM PAPERS LTD.,,success,98.0,esg_outputs\KUANTUM_PAPERS_LTD__esg.json,1602,
Honasa Consumer Ltd,,success,98.0,esg_outputs\Honasa_Consumer_Ltd_esg.json,1603,
AUROBINDO PHARMA LTD.,,success,98.0,esg_outputs\AUROBINDO_PHARMA_LTD__esg.json,1604,
INFO EDGE (INDIA) LTD.,,success,98.0,esg_outputs\INFO_EDGE__INDIA__LTD__esg.json,1605,
INDUSIND BANK LTD.,,success,91.0,esg_outputs\INDUSIND_BANK_LTD__esg.json,1606,
RELAXO FOOTWEARS LTD.-,,success,98.0,esg_outputs\RELAXO_FOOTWEARS_LTD_-_esg.json,1607,
BHARAT ELECTRONICS LTD.,,success,98.0,esg_outputs\BHARAT_ELECTRONICS_LTD__esg.json,1608,
SOUTH INDIAN BANK LTD.,,success,98.0,esg_outputs\SOUTH_INDIAN_BANK_LTD__esg.json,1609,
Vodafone Idea Ltd,,success,98.0,esg_outputs\Vodafone_Idea_Ltd_esg.json,1610,
ITD CEMENTATION INDIA LTD.,,success,98.0,esg_outputs\ITD_CEMENTATION_INDIA_LTD__esg.json,1611,
Latent View Analytics Ltd,,success,98.0,esg_outputs\Latent_View_Analytics_Ltd_esg.json,1612,
ICICI BANK LTD.,,success,98.0,esg_outputs\ICICI_BANK_LTD__esg.json,1613,
SAREGAMA INDIA LTD.,,success,98.0,esg_outputs\SAREGAMA_INDIA_LTD__esg.json,1614,
PCBL Ltd,,success,98.0,esg_outputs\PCBL_Ltd_esg.json,1615,
Expleo Solutions Ltd,,success,98.0,esg_outputs\Expleo_Solutions_Ltd_esg.json,1616,
NTPC LTD.,,success,98.0,esg_outputs\NTPC_LTD__esg.json,1617,
Indian Railway Finance Corporation Ltd,,success,98.0,esg_outputs\Indian_Railway_Finance_Corporation_Ltd_esg.json,1618,
URJA GLOBAL LTD.,,success,98.0,esg_outputs\URJA_GLOBAL_LTD__esg.json,1619,
EVEREST KANTO CYLINDER LTD.,,success,98.0,esg_outputs\EVEREST_KANTO_CYLINDER_LTD__esg.json,1620,
